name,alternative_names,bsc_subfamilies,short_definition,explanation
Error Rate / Ratio / Count,"['Uplink / Downlink Error Rate', 'Trouble Tickets', 'Inter-Server Error Rate (ISER)', 'Failure Rate']","['Operational Efficiency']", "Proportion of operations that fail.", "Quantifies the proportion of failed operations within a system, network, or process over time. It is a key metric in service reliability, communication networks, machine learning, databases, and cloud computing to assess stability and efficiency."
Extensibility, "[]", "['Innovation and Growth']", Ability to add new features or devices without disrupting existing systems.,"Ability to add new features or devices without disrupting existing systems, linked to scalability."
FAIRness Score, "[]", "['Data Quality']", "Evaluates datasets? compliance with the FAIR principles.,Evaluates datasets? compliance with the FAIR principles. More information can be found at https://www.go-fair.org/fair-principles/.
Field Value, "[]", "['Data Monetization']", "Relative importance of a dataset attribute to a business, model, or system.","Denotes the relative importance of a single dataset attribute to a business, model or system. It can be gauged in several ways, including market - based methods (data prices and benchmarks), utility - based measures (impact on outcomes and usage frequency), cost - based calculations (acquisition, storage and maintenance expenses), content based criteria (uniqueness, completeness and accuracy), risk - based assessments (opportunity cost and loss of information value) and model - based techniques like Shapley values, which quantify each field?s contribution to predictive accuracy."
Fixed to Variable Energy Ratio,"['FVER', 'DC-FVER']", "['Operational Efficiency']", "Assess the proportion of fixed energy consumption relative to variable energy consumption.", "Metric designed to assess the proportion of fixed (constant) energy consumption relative to variable (dynamic) energy consumption."
Format,"['Format Compliance', 'Codification', 'Conformity', 'Available Formats']", "['Operational Efficiency']", "Measures adherence to specified data formats.", "Measures adherence to specified data formats to ensure data structure and quality, often calculated as conformity rate."
Granularity,"['Data Frequency', 'Abundance']", "['Data Quality']", "Degree of detail or precision in data.","Refers to the level of detail or precision of the data being collected, stored, and analysed (or space between time stamps for dynamic data). It indicates how finely data is broken down into its components and can significantly impact the quality and usefulness of the data for various applications."
Green Energy Coefficient, "['GEC']", "['Operational Efficiency']", "Share of a data centre?s total energy consumption sourced from renewables.", "Metric that quantifies the proportion of energy used in a data centre that comes from renewable energy sources. It is used to assess the sustainability and environmental impact of data centre operations."
Grid Utilisation Factor, "['GUF']", "['Operational Efficiency']", "Proportion of power drawn from the electrical grid versus generated on-site.", "Assesses the extent to which a data centre relies on power from the electrical grid versus on-site power generation."
Growth Rate, "[]", "['Innovation and Growth']", "Rate of increase in dataset record count over time.", "Measures the increase in the number of records within a dataset over a specific time. This metric tracks the expansion of data volume and provides insights into data collection and acquisition trends. A higher growth rate indicates enhanced data generation or collection capabilities, while a stable or declining rate may signal data input limitations. It is essential for planning scalability, storage, and future data resource value."
Hop Distance (HD),"['Uplink/Downlink HD (UDHD)', 'InterServer HD (ISHD)']", "['Operational Efficiency']", "Number of intermediate devices data passes through in a network.","Measures the number of intermediate devices data traverses in a network, affecting efficiency and latency."
HVAC System Effectiveness, "['HSE']", "['Operational Efficiency']", Overall efficiency of a data centre?s cooling system.,Helps to measure the overall efficiency of a data centre?s cooling system.
Inclusiveness,"[]", "['Innovation and Growth']", "How well an initiative leverages diverse stakeholder contributions while still achieving its goals.", "Measures how well a strategy or data-driven initiative invites and leverages contributions from a broad spectrum of stakeholders while still meeting its essential goals. It highlights the value of integrating diverse perspectives and inputs to drive greater innovation and value without sacrificing quality or performance. Key benefits include: Diverse Insights and Innovation: Organisations ensure they gather a wide range of viewpoints and expertise, which fuels better decision-making, sparks creative solutions, and delivers stronger outcomes. Enhanced Stakeholder Engagement: A focus on inclusiveness deepens involvement from customers, employees, and partners, building trust, loyalty, and collective ownership of results. Maintaining Quality Amid Participation: Strikes the right balance between broad participation and high performance, ensuring that every contribution adds value rather than detracts from core objectives."
Inferential Privacy, "[]", "['Data Governance and Compliance']", "Probability an adversary correctly infers a private parameter from observed data.","Quantifies the probability that an adversary can correctly infer a private parameter from observable data. It aims to ensure that even with observed data, the adversary?s ability to infer private information is significantly limited."
Information Content (IC), "[]", "['Data Quality']", "Unique information content per data packet.", "Quantifies the amount of unique or novel information in each data packet. It is based on the probability of an event captured by the packet, where less probable (more unique) events hold higher information content. Data packets with low redundancy, often representing unexpected or rare events, have a higher IC value, making them more valuable for real-time and relevant data applications."
Information Diffusion,"['Data Distribution', 'Information Distribution']", "['Learning and Growth']", "Speed and scope of information sharing across entities.", "Addresses the flow of information across various entities, such as individuals, organisations, or systems, and how effectively, quickly, or broadly it can be shared or accessed. Key components include: Scarcity: The availability or rarity of the information; scarce information is less likely to spread widely. Sharing: The extent to which information is openly shared or kept private. Open data and social sharing platforms promote wider diffusion (i.e. linked to data governance). Infrastructure: The technological systems and networks (e.g., databases, cloud systems) that enable information transfer. Channels: The media or platforms (e.g., email, social media, and enterprise systems) through which information flows, is presented, or advertised."
Information Frequency, "[]", "['Data Quality']", "Rate at which information is updated, accessed, or used.","Measures how often information is updated, accessed, or used. It is more about the rhythm or rate of interaction with the information."
Integrity,"['Reliability', 'Data Prevention', 'Data Source', 'Corroboration']", "['Data Quality']", "Accuracy, consistency, and reliability of data across its lifecycle.","Data integrity ensures the accuracy, consistency, and reliability of data throughout its lifecycle, from creation to storage and retrieval. Maintaining data integrity is crucial for ensuring the data is trustworthy and useful for decision-making, analysis, and operations."
Internal Rate of Return (IRR), "[]", "['Data Monetization']", "Rate that makes the net present value of cash flows zero.","Internal Rate of Return (IRR) is a financial metric used to evaluate the profitability of an investment. It represents the annualised rate of return that makes the net present value (NPV) of all cash flows (both incoming and outgoing) equal to zero. In other words, IRR is the discount rate at which the present value of an investment?s costs equals the present value of its benefits."
Interoperability,"['Compatible', 'Integration Capabilities']", "['Operational Efficiency']", "Ability of systems to seamlessly share and utilize data across platforms.", "Ability of different systems, applications, or dataset to seamlessly be integrated and/or work together. It ensures that data can be shared, understood, and utilised across various platforms and environments. Key aspects to estimate this as a metric or KPI include Concordance of Data Quality and Governance factors (e.g. same Granularity or similar to a settled standard or Schema)."
IT Equipment Energy Efficiency, "['ITEE']", "['Operational Efficiency']", Measures useful work performed by IT equipment per unit of energy consumed.,The ITEE metric focuses on the useful work related to IT equipment (as opposed to DCPE which focuses on the data centre as a whole).
IT Equipment Utilisation, "['ITEU']", "['Operational Efficiency']", Ratio of actual to rated energy consumption of IT equipment.,"The ITEU metric focuses on the ratio of actual energy consumption to the rated energy consumption of IT equipment, providing insight into the energy utilisation efficiency of the IT infrastructure."
IT Power Usage Effectiveness, "['ITUE']", "['Operational Efficiency']", PUE metric applied to IT equipment rather than the entire data centre.,The ITUE is a PUE-type metric for the IT equipment rather than for the data centre.
Latency,"['Uplink/Downlink Communication Latency', 'Interserver Communication Latency', 'Database Access Latency', 'Transaction Finality Time', 'Link/Downlink Communication Latency (UDCL)']", "['Operational Efficiency']", Time between a request and its response.,"Measures the delay between the time a request is made and the time a response is received, typically measured in milliseconds (ms). It can also refer to the time it takes for a system to respond to a service (e.g., transaction finality time)."
Learnability, "[]", "['Customer Needs and Satisfaction']", Ease with which new users learn to use platform features like data search and visualization.,"Assesses how easily users can learn to use the platform and perform tasks such as data search and visualisation. Learnability is evaluated based on user testing results, focusing on how simple and understandable the data and interface are for new users."
Leave-One-Out (LOO), "[]", "['Data Valuation Techniques']", Change in performance when a specific data source is removed.,A method for estimating the data value by measuring the difference in performance when a specific data source is different. The LOO value is calculated by comparing the prediction accuracy of a model trained with and without the specific data source (see equation).
Licensing,"['License Compliance', 'Free License', 'Licensing Restrictions']", "['Data Governance and Compliance']", Share of datasets published under specified licensing terms.,"Measures the proportion of datasets published under specific licensing terms, such as open licenses."
Lifecycle, "['Shelf life of data']", "['Innovation and Growth']", Expected active lifespan of a data source.,"The lifecycle refers to the length of time a source of information is expected to remain active. Information is perishable, and after the lifecycle ends, the node (source of information) is assumed to no longer generate value."
Lineage,,Data Governance and Compliance,Complete record of a dataset?s origin and all transformations.,"Refers to the entire history of the data, including its origin as well as all the transformations, movements, and processes it has undergone throughout its lifecycle."
Location YardStick Score,,Data Valuation Techniques,Contribution of location data to specific analytical tasks.,"Measures the contextual value of location data based on its contribution to specific analytical tasks, such as trajectory estimation."
Loss and Missed Opportunity Costs,Data root cause remediation,Data Valuation Techniques,Revenue and profit lost due to poor data quality.,"Corresponds to revenues and profits lost due to poor data quality. For instance, inaccurate customer email addresses can result in lower revenues as acquired customers cannot be reached for advertising campaigns."
Loss of  Information Value (LIV),Revenue Loss,Data Valuation Techniques,Total financial impact of losing or compromising information.,"A metric quantifying the financial impact of losing or compromising information, encompassing both the cost of reacquiring or replacing the information and the cumulative income lost over time due to its unavailability."
Maintainability,,Operational Efficiency,"Ease of managing, updating, and enhancing data systems.","Maintainability evaluates how easily data systems, databases, and datasets can be managed, updated, cleaned, and enhanced over time. It involves modularity, scalability, ease of updates, error management, documentation, automation, and adaptability."
Maintenance Frequency,,Operational Efficiency ,Frequency with which a dataset requires maintenance.,"The frequency with which a dataset requires maintenance, directly impacting operational costs."
Market Adjustment Factor,"['Discount Price', 'Full Price']",Data Monetization,Market?condition adjustment factor applied to base data price.,"A coefficient that adjusts the base market price depending on external market conditions. Reflects factors like market demand, competition, and dynamics influencing the final sale price."
Market Value of Information (MVI),Average financial contribution per record,Data Monetization,"Projected income from selling, leasing, or sharing information.","This metric calculates the potential income from selling, leasing, or sharing information. It incorporates time, price, exclusive price, and discount rate."
Mean Time to Data Loss,MTTDL,Data Quality,Expected time until data loss under current redundancy scheme.,A traditional metric estimating how long a system will operate before experiencing data loss. Useful for comparing redundancy schemes and estimating system reliability.
Metadata,"['Contextual Information', 'Documentation features', 'Profiling']",Data Quality,Detailed specification of required information format and medium.,"Describes the required information in detail, including preferences for format and medium."
Moderation,,Data Quality,Proportion of data points within the extremes of a normal distribution.,The Moderation metric tells you how many of your data points lie within the extreme ends of what you?d expect if the data were perfectly Gaussian (i.e. normally distributed).
Mutual Information,,Data Quality,Mutual information shared between two variables.,"Measures the mutual dependence between two variables, quantifying the amount of information shared. Applications include feature selection, data compression, and pricing."
NDG,,Data Governance and Compliance,Number of decisions linked to two simple goals in the hierarchy.,Metric related to Traceability. Total number of simple decisions that trace up two simple goals in the goal hierarchy.
NDGI,,Data Governance and Compliance,Number of decisions linked both up to goals and down to requirements.,Metric related to Traceability. Total number of simple decisions that trace up to simple goals and trace down to the information requirements.
NDI,,Data Governance and Compliance,Number of decisions tracing down to information requirements.,Metric related to Traceability. Total number of simple decisions that trace down to the information requirements.
Net Present Value,,Data Monetization,Present?value?based valuation of future cash flows.,Determines the future cash flows of an asset to calculate its value.
Network Metrics,,Operational Efficiency,"Operational-efficiency metrics for data-centre networks (e.g., stretch, size, utilisation).","These represent metrics that are specific to data centres operational efficiency and include: Diameter Stretch, Path Stretch, Maximum Relative Size, and Network Utilisation."
Network Traffic Overhead,,Operational Efficiency,Bandwidth and resource consumption per data transaction.,"Measures the bandwidth and resource consumption associated with data transactions, influencing costs and scalability."
NGD,,Data Governance and Compliance,Number of goals tracing down to decisions.,Metric related to Traceability. Total number of simple goals that trace down to simple decisions.
NGI,,Data Governance and Compliance ,Number of high-level goals tracing down to information requirements.,Metric related to Traceability. Total number of goals at higher levels that trace down to information requirements at lower levels.
NID,,Data Governance and Compliance ,Number of information requirements tracing up to simple goals.,Metric related to Traceability.  Total number of information requirements that trace up to simple goals in goal hierarchies.
NIG,,Data Governance and Compliance,Number of information requirements tracing up to goals at any level.,Metric related to Traceability.  Total number of information requirements at lower levels that trace up to simple/complex goals.
Node Value,NV,Data Valuation Techniques,Value contribution of a decision node weighted by data quality.,"A decision node in DBV marks a point in an organisation?s workflow where a particular piece of information informs a choice; its value is the information?s contribution to that decision, weighted by data quality."
Number of Sensitive Field,,Data Governance and Compliance,Count of governed data columns in a data store.,Measures the number of data columns governed by policies in a data store.
Objectivity,,Data Quality,Degree to which data and analysis are unbiased and evidence-based.,"Objectivity refers to the degree to which data and its analysis are free from bias, personal opinions, or subjective interpretations. Ensures conclusions based on data are valid, reliable, and replicable. Key aspects include unbiased data collection, consistent application of methods, and evidence-based conclusions."
Open Data Barometer,ODB,Data Valuation Techniques,"Global index measuring government open-data readiness, implementation, and impact.","The Open Data Barometer (ODB) is a global index created by the World Wide Web Foundation to measure how governments are using open data to promote transparency, innovation, and social impact. It evaluates three main areas: readiness, which looks at how prepared governments and societies are to support open data; implementation, which assesses the availability and quality of published data; and impact, which examines how open data benefits politics, the economy, and society. By combining these factors, the ODB ranks countries and highlights opportunities for improvement."
Openness,Sharing,Data Governance and Compliance,Degree to which datasets are openly licensed and accessible.,"Openness measures the degree to which datasets provide a confirmed open license and format. The metric evaluates factors like open licensing, format compatibility, metadata quality, and ease of access."
Operational Cost (OPEX),"['Maintenance Cost', 'System Cost', 'Storage Cost', 'Contractual Costs', 'Labor Costs', 'Utility Costs', 'Transaction Fees', 'Publishing Cost', 'Service Cost', 'Application Cost', 'Cost']",Data Monetization,"Recurring costs of data-related operations (storage, maintenance, security, labor, utilities).","Operational Expenditure (OPEX) includes the recurring costs necessary to keep an organisation running. These cover data-related activities such as storing, organizing, backing up, securing, and updating data. Costs vary depending on dataset size, tools, and organisational needs. In data centres, OPEX also includes hardware maintenance and contractual costs. Contractual costs are fixed payments to third-party providers for services like data processing, analysis, or infrastructure. These may involve cost-plus terms based on data volume or service time and can represent major expenses, especially when contractors work on-site. Managing these is key to data monetisation profitability. Data maintenance costs include: Storage, Management, Backup/Recovery, Security, Cleansing/Updating, Compliance, Optimisation. Labour costs can include hardware installation, staff for data handling and system maintenance, consulting services, and training expenses. Utility costs cover electricity, cooling, equipment maintenance, and other overhead such as safety gear, transport, and dedicated server or office spaces used solely for Big Data operations."
Other Utilities,,Operational Efficiency,Efficiency of thermal and air management in data-centre operations.,"Other Utilities (e.g. Thermal and Air management metrics) fall under Operational Efficiency alongside HVAC performance measures. Key indicators include the Recirculation Index (RI), which quantifies how much hot exhaust air is recirculated rather than expelled; the Capture Index (CI), which assesses how efficiently the cooling system directs exhaust back into the intake without mixing with supply air; and the Data Centre Cooling System Efficiency (DCCSE), the ratio of cooling infrastructure power to total IT load. See the cited references for a complete list of metrics."
Oversight,Audit,Governance and Compliance,Capability to monitor and audit compliance with governance policies.,"Assesses an organisation?s capability to monitor and validate compliance with governance standards, processes, and policies. It includes mechanisms for periodic audits to ensure data integrity and proper governance implementation."
Ownership,,Data Governance and Compliance,Ownership clarity and licensing restrictions of a dataset.,"This metric evaluates the outright ownership of the data set, including any licensing restrictions and service agreements. Ownership impacts the value of the data based on who controls it and under what terms it can be used or shared. Assessed based on licensing terms and ownership rights detailed in service agreements."
Payment-Accuracy Tradeoff,,Data Valuation Techniques,Trade?off between payment for private data and accuracy of insights.,"The Payment?Accuracy Tradeoff as a KPI measures the balance between the cost of compensating individuals for sharing their private data and the accuracy of the insights gained from that data. It reflects how much payment is required to achieve a desired level of accuracy in data analysis, considering the privacy constraints."
Performance per Watt,PpW,Operational Efficiency,Actual energy efficiency of every device based on usage.,Measures the actual energy efficiency of every device in the data centre and how it is used.
Plausibility,"['Credibility', 'Believability', 'Match Between System and the Real World']",Data Quality,Degree to which data is credible and aligns with expected patterns.,"Plausibility in the context of data refers to the degree to which the data is reasonable, credible, and aligns with expectations based on known relationships, patterns, or rules. It assesses whether the data makes sense within the context it?s being used, ensuring that it reflects real-world situations or follows logical assumptions."
Policy,,Data Governance and Compliance,High-level principles guiding organizational decision-making.,Policies are high-level principles or rules that an organisation establishes to guide decision-making and behaviour.
Power Density Efficiency,PDE,,Improvement in energy efficiency from rack-level physical changes.,"A variation of PUE that can provide insight into the improvements to both the IT equipment and the supporting cooling system. The proposed metric enables evaluation of the impact of physical changes inside the racks on energy efficiency, which is not possible using the common metrics above."
Power Usage Effectiveness (PUE),"['Carbon Usage Effectiveness (CUE)', 'Total Energy Usage Effectiveness (TUE)', 'Data Centre Efficiency (DC)', 'Data Centre Infrastructure Efficiency (DCiE)', 'SPUE', 'pPUE', 'PUE1?4', 'SI-POM', 'H-POM']",Operational Efficiency,Ratio of total facility power to IT equipment power (PUE) and related carbon and conversion metrics.,"PUE is probably the most well-known data centre efficiency metric and is defined in ISO/IEC 30134-2 / EN 50. SI-POM and PUE are essentially equivalent metrics used to evaluate the energy efficiency of a data centre?s infrastructure by comparing total facility power consumption to IT equipment power consumption. The IT H-POM metric, on the other hand, focuses on the efficiency of power conversion within IT equipment, aiming to minimise the overhead power relative to the actual compute power used. Directly connected to PUE is CUE which measures the carbon emissions associated with the energy consumption of a data centre. It quantifies how much carbon dioxide (CO2) is emitted per unit of energy used by IT equipment"
Precision,,Data Quality,Level of detail with which data is captured and represented.,"Precision refers to the level of detail with which data is captured, measured, and represented. It describes how specific the data values are and impacts the reliability of results and analyses. Further concepts are provided in the main document."
Privacy Budget,,Data Governance and Compliance,Privacy budget (�) controlling trade-off between privacy and accuracy.,"The privacy budget quantifies the amount of privacy loss tolerated in a system. It is denoted by ? (epsilon), which controls the trade-off between privacy and accuracy in differential privacy algorithms. A smaller ? provides stronger privacy guarantees at the expense of data utility. By treating ? as a budgeted resource, organisations can balance data utility against individual privacy guarantees in a transparent, mathematically grounded way."
Privacy Level,"['Privacy Sensitivity', 'Propensity Score']","['Data Governance and Compliance', 'KPIs and Metrics for Data Monetisation']",Privacy risk measured by how closely synthetic data resembles real data.,"Measures the privacy risk or leakage in data reporting. It helps assess or control the trade-off between privacy, data utility, and the cost of compensating individuals for privacy loss. A lower propensity score indicates synthetic data closely resembles real data without revealing sensitive information."
Process Failure Costs,,Data Valuation Techniques,Frequency of process failures caused by poor data quality.,"Poor quality data causes processes to fail. For example, inaccurate mailing addresses cause correspondence to be misdelivered, algorithms to fail, or ML/AI component to have low accuracy or misled results."
Processing Value Ratio,,Data Valuation Techniques,Value added by processing data into information.,Determines the value added through processing data into information. It is calculated differently based on the type of value transfer.
Protection Expense,,"['Data Governance and Compliance', 'Data Valuation Techniques']",Cost to implement and maintain data protection measures.,"Cost to apply protection measures (e.g., encryption, access control) to specific data stores. Includes costs of implementing security controls, maintenance, and resource allocation."
Proximity,,Data Quality,Proximity relevance of data based on event or sensor location.,"Proximity is important in applications like fog computing and habitat monitoring, where the location of events or sensors affects data valuation."
Quality Factor (QF),,Data Quality,Link between information quality and its business innovation potential.,"Links overall quality of information, including accuracy and frequency, to its potential value for business innovation and growth."
Quality of Service (QoS),"['Data Connected to Service Levels', 'Service Characteristic Index', 'Service Level Agreement']",Customer Needs and Satisfaction,Performance level and reliability as defined by SLAs.,"Refers to the performance level and reliability expected by clients when accessing datasets. Key points include latency constraints (ensuring acceptable latency for reconstructing datasets) and adherence to Service Level Agreements (SLAs), which outline expected performance metrics such as response times and availability."
Quantity of Private Projects,,Innovation and Growth,Number of private vs. public projects/services/datasets available online.,Represents the quantity of private projects/services/datasets available online. 
Quantity of Public Projects,,Innovation and Growth,Proportion of data within valid lower and upper bounds.,Represents the quantity of public projects/services/datasets available online. 
Range,,Data Quality,Cost or effort to restore lost or corrupted data.,"Quantifies the proportion of data values that fall within predefined lower and upper bounds, reflecting the validity of data within expected limits."
Reconstruction Cost,Packet Recovery Score,Data Valuation Techniques,Effectiveness of packet recovery during transmission.,"Reconstruction Cost refers to the financial or computational effort needed to restore lost or corrupted data, typically from backups or redundant sources. It reflects the cost-effectiveness of recovery in systems focused on data integrity and availability. Packet Recovery Score, often used in networking contexts, measures how effectively lost or corrupted packets are recovered during transmission. It indicates the resilience of systems like IoT or wireless sensor networks against packet loss."
Regulatory Compliance,Compliance Cost,Data Governance and Compliance,Degree of legal and regulatory compliance of data.,"Measures whether the data complies with relevant legal and regulatory standards. Estimated financial cost to business of not keeping data for compliance/regulation purposes. It can be defined as a quantitative or qualitative measure that evaluates the extent to which data adheres to the predefined rules, standards, or requirements. Compliance metrics focus on ensuring data consistency, reliability, and alignment with organisational or regulatory frameworks."
Relevance,"['Decision  Support Capabilities', 'Relevance Factor', 'Priority Score', 'Importance', 'Existence']",Data Valuation Techniques,Usefulness and adaptability of data for business processes.,"Refers to the usefulness of data for business processes, ensuring data is meaningful, reusable, and adaptable to changing demands. Includes relevance factor, priority score, and existence checks for completeness."
Renewable Energy Factor (REF),"['On-site Energy Fraction (OEF)', 'On-site Energy Matching (OEM)']",Operational Efficiency,"Share of energy consumption met by renewables, on-site and grid.",Measures the proportion of a data centre?s total energy consumption that is sourced from renewable energy. OEF evaluates the share of a data centre?s energy needs met through on-site renewable energy generation. OEM assesses how well the on-site renewable energy generation aligns with the data centre?s energy consumption patterns.
Reputation,Popularity,Market Penetration,"Perceived quality, governance, transparency, and ethical use of data.","Refers to the perceived quality, reliability, and trustworthiness of data, impacting decision-making and governance. Key aspects include quality, governance, transparency, and ethical use."
Response Time,,Operational Efficiency,Total latency from request initiation to system response.,"Total duration from the initiation of a request to the system?s response. It encompasses multiple factors such as processing time, communication latency, database access latency, transaction processing speed, and network-induced delays."
Responsiveness,"['Time Metrics', 'Speed']",Operational Efficiency,Responsiveness of a system to inputs beyond raw processing speed.,"Responsivenes is more than response time. Relates to the responsiveness of a system or service, measuring data processing speed and timely updates. Speed refers to the raw processing capability of a system?such as how quickly a database query is executed?responsiveness emphasises the system?s ability to react promptly to user inputs or requests."
Return on Investment (ROI),"['Profit', 'Estimated Benefit to Business from Using Data']",Data Monetization,Profitability or efficiency ratio of an investment.,"Measures the profitability or efficiency of an investment, comparingnet gains to costs."
Revenue,Economic Benefits,Data Monetization,Total income from normal business operations.,Refers to total income from normal business operations. 
Risk Cost,Regulatory Risk,"['Data Governance and Compliance', 'Data Valuation Techniques']","Financial impact of a data breach, including fines and losses.","Measures the financial impact of a potential data breach, including fines, legal fees, reputation damage, and operational disruption. Risk Cost is defined as the total monetary impact incurred by an organisation if a data breach, compromise, or loss occurs. It is computed by quantifying various financial and reputational damages and multiplying these by the number of records at risk."
Risk Score,Risk Management Index,Data Governance and Compliance,Overall risk score of a data store based on multiple risk factors.,"Refers to the systematic process of identifying, assessing, and mitigating risks associated with data assets. Risk score is calculated as a weighted sum of multiple risk factors, including sensitivity level and protection percentage, to reflect the overall risk level of a data store."
Rival Access Loss,,Data Valuation Techniques,Estimated cost if competitors access the data.,Estimates the financial cost to a business if competitors gain access to its data.
Runtime,Processing Time,Operational Efficiency,Runtime overhead relative to a performance baseline.,Refers to the time taken to execute tasks or processes in a data system. Runtime overhead evaluates performance improvements or degradations relative to a baseline.
Satisfaction,"['Feedback', 'User?s Satisfaction', 'User Attitude', 'Behaviour', 'Business User Satisfaction', 'Degree of Satisfaction', 'Business User Satisfaction']",Customer Needs and Satisfaction,"User satisfaction with interface, layout, and data presentation.","Measures user satisfaction with the platform interface, layout, and data presentation. Combines objective metrics like accuracy and relevance with subjective feedback to gauge satisfaction."
Scalability,"['System Concurrence Processing Capabilities', 'Elasticity']",Operational Efficiency,System?s ability to scale resources dynamically with demand.,"Evaluates the ability of a system to handle increased data volumes. Elasticity allows dynamic allocation of resources to meet demand, ensuring performance and cost-efficiency."
Scarcity,,Data Monetization,Availability or rarity of information for monetization.,"Measures the availability or rarity of information.  Scarce information may have limited distribution, impacting its monetisation potential."
Schema,,Data Governance and Compliance,Presence of desired data attributes like clarity and robustness.,"Defines the presence or absence of desired attributes, including clarity, comprehensiveness, flexibility, robustness, and precision of domains."
Security Composite Efficiency Indicator,,Data Governance and Compliance,"Composite cybersecurity efficiency score (readiness, resilience, penetration).","Combines multiple efficiency indicators to assess overall system performance in cybersecurity. Metrics include equipping coefficient, technical readiness, and penetration testing resilience."
Security Level Index,"['Security', 'Access Security']",Data Governance and Compliance,"Strength of data protection measures (confidentiality, integrity, availability).","Measures the protective measures implemented to safeguard data from unauthorised access and breaches. Key aspects include confidentiality, integrity, availability, and compliance with regulations."
Server Compute Efficiency (ScE),,Operational Efficiency,Compute efficiency of data-centre resources per energy consumed.,Designed to assess the efficiency of compute resources within a data centre. The metric aims to evaluate how effectively servers perform computational tasks relative to the energy they consume.
Service Agreement,,Governance and Compliance,Clarity and enforceability of data?usage contracts and licenses.,"A formal contract defining data ownership, licensing restrictions, compliance standards, and usage rights, evaluated for clarity, regulatory alignment, and flexibility to support data utility and accessibility."
Shapley Fairness,Fairness Metrics,Data Quality,Fair allocation of resources or data access among users or groups.,"Related to allocating resources proportionally in systems like VMs or ensuring data fairness, e.g., reducing biases."
Shapley Value,,Data Valuation Techniques,Marginal contribution of each data source in a coalition.,"A baseline metric to measure the importance of each data provider, dataset, or feature in a coalition of data sources. Reflects the marginal contribution of each data source to the overall system, providing a fair value and reward mechanism."
Social Welfare,Social Benefits,"['Innovation and Growth', 'Customer Needs and Satisfaction']",Net utility gain minus privacy cost in a data marketplace.,Represents the difference between the aggregate utility of all model requesters and the total privacy cost of all data owners in a data marketplace.
Space Cost,Disk Occupation,Data Valuation Techniques,Storage space required per unit of data.,"Amount of storage space required to store data, which can vary depending on the file format and storage mechanisms used. The cost can be linked later to the cost associated with maintaining such information."
"Space, Wattage, and Performance. (SWaP)",,Operational Efficiency,Overall facility resource usage including support infrastructure.,Evaluates the efficiency of a system by considering its performance output relative to the space and power it consumes.
Statistical Parity,,Innovation and Growth,Fairness in ML via equal positive?class probability for sensitive groups.,A fairness metric in ML ensuring equal probability of inclusion in the positive predicted class for sensitive groups. Synthetic data can be adjusted to meet statistical parity requirements.
Stochastic Divergence,"['Identity-based Exact Match', 'Jensen-Shannon Divergence', 'Wasserstein Distance']",Data Quality,Measure of distribution similarity or divergence between datasets.,"Stochastic Divergence is a measure of the difference or similarity between statistical distributions, focusing on their probabilistic or statistical characteristics. It encompasses metrics that assess how closely two distributions align or diverge."
Storage Cost,Cost of data Storage,Data Valuation Techniques,Infrastructure and management costs of data storage systems.,"Storage costs cover the infrastructure, management, and upkeep of data systems, including hardware, cloud services, energy use, and compliance. Poor management of redundant or unused data can greatly inflate these costs, especially in data lakes and enterprise systems."
Stranded Power Capacity Per Rack (SPCR),,Operational Efficiency,Unused power allocated within server racks.,Allocated but unused power within individual server racks.
Structure,Data Structure,Data Quality,Organization and format of stored data for efficient access.,"Defines the organisation and storage format of data, enabling efficient access, modification, and management."
Success Rate / Ratio / Count,,Operational Efficiency,Operational success rate: completed tasks versus attempts.,"Proportion of operations, tasks, or processes successfully completed relative to total attempts. Evaluates system reliability and effectiveness."
Support,,Operational Efficiency,Support for database rule mining: proportion of records matching rules.,"Proportion of records in the dataset that satisfy both the antecedent and consequent of a rule, highlighting common patterns."
Synchronisation,,Data Quality,Degree of synchronization between multiple data sources.,"Refers to the process of ensuring that two or more data sources (like databases, devices, or systems) have the same, up-to-date information Can be explicitly defined in quantitative terms based on its role in assessing the alignment and coherence of systems or datasets."
Syntactic Similarity,"['Levenshtein Distance', 'Edit Distance', 'Cosine Similarity', 'Q-gram Distance', 'Semantic Similarity']",Data Quality,String similarity metrics for data value comparison.,"Metrics to assess how similar data values are in terms of their syntax, e.g., based on character similarities. Levenshtein Distance is used as a primary metric to calculate this similarity. Additional metrics include Edit Distance, Cosine Similarity, Q-gram Distance, and Jaccard Coefficient."
System Capacity,"['Memory', 'CPU', 'Bandwidth', 'Storage Capacity']",Technology and Infrastructure,Maximum load capacity before performance degradation.,"Refers to the maximum amount of work, load, or use that a system can handle without significant degradation in performance. Includes CPU, memory, storage, and bandwidth capacity. This information can be used also to generate ratios for System Utilisation metric."
System Robustness,System Stability,Operational Efficiency,System stability and resilience under disturbances or attacks.,"Measures the ability of a system, model, or process to remain stable and perform well despite disturbances, faults, or unexpected inputs. Key aspects include system stability, resilience to adversarial attacks, error handling, and generalisation."
System Utilisation,"['CPU Utilisation', 'Memory Utilisation', 'Disk Utilisation', 'Deployed Hardware Utilisation (DH-UR)']",Operational Efficiency,"Utilization rate of CPU, memory, storage, and network resources.","Measures how efficiently and effectively a system?s resources?such as CPU, memory, storage, and network are being used during a given period."
